Ref,Building,Title,TTW Job Nos,Category,Year Constructed,Year (AGB),Year,Age Risk Rating,Structural Engineer,Structural Drawings,Storeys,Structural Framing System,LLRS,Typology Risk,Priority Rating,Asset Priority Rating,Structural Seismic Risk Level,Geotechnical Report,Ground Conditions,Facade Typology,Facade Safety Risk,Facade Risk Identification,Address,Co-ordinates,Latitude,Longitude,Notes,Link,,Facade Observations,Status,UNSW PM
A27,Golf House,Golf House (A27),171113,Building,N/A,,1955,5,,,,LOW RISE MASONRY,Masonry Walls,2,10,MEDIUM,,,,Brick/render,Low,No issues identified,,,,,,,,,,
B05,Aquatic Centre,Fitness and Aquatic Centre (B05),121168,Sports,N/A,,1979,5,,,,LONG SPAN RC FRAME,HYBRID,2,10,MEDIUM,,,,Concrete frame / brick,High,Potential failures identified and require rectification,,,,,,,,"PT beam ends corroding, timber protection required (S)",,
B05,Fitness Centre,,,,,,1971,5,,,,RC FRAME,,1,5,LOW,,,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Gutter failure (E), Brick cracking/footing failure (S), water ingress through fa?ade (S), steel props corrosion (S)",,
B08,University Terraces,University Terraces (B08),,Student Accom,N/A,,2013,1,,,7,RC FRAME,RC WALLS,1,1,,,,,Brick / glass fins,High,Potential failures identified and require rectification,,,,,,,,"Soffit board failure (SE), mortar joint opening (S)",,
B10,UNSW Village,UNSW Village (B10),,Student Accom,2008,,2008,1,ROBERT BIRD GROUP,S0-00 - S16-15,,CONCRETE,RC WALLS,1,1,,,N/A,,Precast,High,Potential failures identified and require rectification,,,,,,,,"Concrete spalling, concrete cracking, gutter maintenance (E), Roof vegetation, FC sheet staining/deteriorating",,
B14D,Fig Tree Theatre,,,,,,1955,5,,,1,LOW RISE TIMBER,TIMBER,2,10,MEDIUM,,,,Corrugated metal,High,Potential failures identified and require rectification,,,,,,,,"Roof damage & debris, cladding corrosion, brick crack (E) ",,
B15,Old Tote,,,,,,1955,5,,,3,TIMBER / MASONRY,,2,10,MEDIUM,,,,,High,Potential failures identified and require rectification,,,,,,,,"Steel corrosion to steel stairs (W), Roof damage",,
B16,Columbo House,Columbo Building (B16),,Building,2012,,2012,1,STRUCTURAL SYSTEMS P/L,S202 - S329,,RC FRAME / PT FLOORS,,1,1,,,N/A,,Brick / Precast,Very High,Facade safety risk identified requiring immediate attention,,,,,,,,"Investigate Handrails (site advice 3), investigate concrete plugs",,
B17,Goldstein College,Goldstein College (B17),,Building,2012,1964,2012,1,STRUCTURAL SYSTEMS P/L,S202 - S329,7,RC FRAME / PT FLOORS,,1,1,,,N/A,,Brick / Precast,Very High,Facade safety risk identified requiring immediate attention,,,,,,,,"Wedged piece of wood (W) (site advice 2), check precast precast plugs",,
B18,Fig Tree Hall,Fig Tree Hall (B18),,Building,N/A,,2012,1,,,,RC FRAME / PT FLOORS,,1,1,,,,,"RC frame, Brick / Precast concrete",High,Potential failures identified and require rectification,,,,,,,,"Concrete spalling (low level), Loose concrete plugs, water damage to balconies, vegetation in gutters",,
B21,Repository,,,,,1971,1971,3,,,1,MASONRY,,3,9,MEDIUM,,,,Precast Concrete,High,Potential failures identified and require rectification,,,,,,,,"Concrete spalling, exposed reo",,
C06,International House,International House (C06),"701107
65178
651001
171487
101254
071474",Building,1965 to 2010 ,,1968,5,TTW,S1 - S13,,RC FRAME / RC SLAB AND BEAMS,,1,5,LOW,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Timber rafters rotting (N), Vegetation on roof, Brick joints to be sealed, window failure (E), Window seal failure, Concrete spalling, mortar repair.
TTW Fa?ade condition report issued Oct 2023. Awaiting direction.",Fa?ade Condition Report issued Oct 2023,Nathan Barlow / Lauren Stafford
C15,White House,,,,,,1955,5,,,2,LOW RISE STEEL/TIMBER HYBRID,,2,10,MEDIUM,,,,Timber cladding,High,Potential failures identified and require rectification,,,,,,,,"Paving collapsed, Gutter cleaning",,
C20,Morven Brown Building,Morven Brown Building,121566,Building,1964,1966,1965,5,WOOLACOTTS (WCE) & STACE ENGS,"1E - 6E, S1 - S27",5,CONCRETE & STEELWORK HYBRID,,2,10,MEDIUM,,N/A,,Brick,Very High,Facade safety risk identified requiring immediate attention,,,,,,,,"Replace canopy flashing (N), Spalling RC stairs, Canopy glass seals failed, Dry brick movement joints to replace, leaking gutters, Secure vent covers (site advice 1).
TTW Fa?ade condition report issued Oct 2023. Awaiting direction.",Fa?ade Condition Report issued Oct 2023,Nathan Barlow / Lauren Stafford
C22,Chancellery,Chancellery (C22),"121277
101558 & 67003",Building,1967,,1967,5,TTW,S1-S10,5,RC FRAME / STEEL ROOF,,1,5,LOW,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Spalling/cracking brickwork, spalling precast awning, sill corrosion, failed awning gutter, loose flashing",,
